[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,9.6e-05,1.5e-05,1
2,12x12hard.txt,100.0,0.003075,0.001638,3.03
2,12x12med.txt,100.0,0.0001,3.1e-05,1
2,6x6easy.txt,100.0,4.2e-05,1.1e-05,1
2,6x6hard.txt,100.0,0.000113,1.2e-05,1
2,6x6medium.txt,100.0,4e-05,7e-06,1
2,aiescargot.txt,100.0,0.00757,0.008091,16.17
2,coly013.txt,100.0,0.031715,0.026227,57.09
2,goldennugget.txt,100.0,0.022533,0.022602,43.33
2,platinumblond.txt,100.0,0.068548,0.059914,123.9
2,reddwarf.txt,100.0,0.018564,0.016136,36.38
2,sabuncu1.txt,100.0,6.5e-05,6e-06,1
2,sabuncu10.txt,100.0,6.5e-05,6e-06,1
2,sabuncu2.txt,100.0,6.6e-05,1.6e-05,1
2,sabuncu3.txt,100.0,0.000469,0.000123,1.1
2,sabuncu4.txt,100.0,0.000278,5.8e-05,1.01
2,sabuncu5.txt,100.0,6.6e-05,1.1e-05,1
2,sabuncu6.txt,100.0,0.005217,0.004927,11.34
2,sabuncu7.txt,100.0,0.000428,0.0001,1.06
2,sabuncu8.txt,100.0,0.00039,0.000172,1.12
2,sabuncu9.txt,100.0,0.000583,0.000423,1.34
2,tarx0134.txt,100.0,0.01445,0.015669,27.18

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,30,100.0,0.646251,0.478497,25.66
2,25x25,35,100.0,1.040458,0.745927,49.78
2,25x25,40,100.0,1.912074,1.658282,112.34
2,25x25,45,95.0,3.986673,6.165439,314.211
2,25x25,50,98.0,1.784396,7.128912,201.214
2,25x25,55,100.0,0.001404,0.007883,1.18
2,25x25,60,100.0,0.000444,0.000114,1
2,25x25,65,100.0,0.00039,8.5e-05,1
2,25x25,70,100.0,0.000361,4.3e-05,1
2,25x25,75,100.0,0.000356,6.3e-05,1
2,25x25,80,100.0,0.000336,2.9e-05,1
2,25x25,85,100.0,0.000343,5e-05,1
2,25x25,90,100.0,0.000337,3.5e-05,1
2,25x25,95,100.0,0.000334,1.8e-05,1

[general size=9x9 timeout=5s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,9x9,0,100.0,0.001146,7.1e-05,1
2,9x9,5,100.0,0.001056,0.000159,1.02
2,9x9,10,100.0,0.000937,5.2e-05,1
2,9x9,15,100.0,0.000847,5.8e-05,1
2,9x9,20,100.0,0.000742,5.8e-05,1
2,9x9,25,100.0,0.000653,5.6e-05,1
2,9x9,30,100.0,0.000509,8.4e-05,1.01
2,9x9,35,100.0,0.000352,9.1e-05,1
2,9x9,40,100.0,0.00019,8.5e-05,1
2,9x9,45,100.0,0.000113,4.9e-05,1
2,9x9,50,100.0,8.9e-05,3e-05,1
2,9x9,55,100.0,7.4e-05,2.4e-05,1
2,9x9,60,100.0,6.5e-05,1.3e-05,1
2,9x9,65,100.0,6.4e-05,1e-05,1
2,9x9,70,100.0,6.1e-05,6e-06,1
2,9x9,75,100.0,6.1e-05,6e-06,1
2,9x9,80,100.0,6.4e-05,2.4e-05,1
2,9x9,85,100.0,6.1e-05,1.2e-05,1
2,9x9,90,100.0,6e-05,4e-06,1
2,9x9,95,100.0,6.1e-05,9e-06,1

[6x6 timeout=3s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,6x6,0,100.0,0.000302,2.4e-05,1
2,6x6,5,100.0,0.000295,2.8e-05,1
2,6x6,10,100.0,0.00027,3.1e-05,1
2,6x6,15,100.0,0.00024,1.4e-05,1
2,6x6,20,100.0,0.000211,2.8e-05,1
2,6x6,25,100.0,0.000172,2.9e-05,1
2,6x6,30,100.0,0.000148,3.3e-05,1
2,6x6,35,100.0,9.6e-05,3.5e-05,1
2,6x6,40,100.0,7.2e-05,3e-05,1
2,6x6,45,100.0,5.2e-05,2e-05,1
2,6x6,50,100.0,4.4e-05,1.2e-05,1
2,6x6,55,100.0,4.5e-05,2.6e-05,1
2,6x6,60,100.0,4.4e-05,3.3e-05,1
2,6x6,65,100.0,3.8e-05,6e-06,1
2,6x6,70,100.0,3.9e-05,8e-06,1
2,6x6,75,100.0,3.9e-05,1.2e-05,1
2,6x6,80,100.0,3.7e-05,5e-06,1
2,6x6,85,100.0,3.8e-05,7e-06,1
2,6x6,90,100.0,3.9e-05,2.3e-05,1
2,6x6,95,100.0,3.8e-05,9e-06,1

[12x12 timeout=10s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,12x12,0,100.0,0.004517,0.001819,1.43
2,12x12,5,100.0,0.003997,0.001496,1.37
2,12x12,10,100.0,0.00335,0.001236,1.27
2,12x12,15,100.0,0.003041,0.001088,1.24
2,12x12,20,100.0,0.002664,0.000938,1.23
2,12x12,25,100.0,0.002189,0.000756,1.16
2,12x12,30,100.0,0.001995,0.000685,1.21
2,12x12,35,100.0,0.001603,0.000491,1.15
2,12x12,40,100.0,0.001261,0.000386,1.13
2,12x12,45,100.0,0.000841,0.000363,1.07
2,12x12,50,100.0,0.000426,0.000226,1.03
