param_name,param_value,puzzle_size,alg,alg_name,instances,success_mean,time_mean_mean,time_std_mean,cycles_mean_mean,cycles_std_mean
numACS,5,25x25,2,CP-DCM-ACO,100,99.17,6.3898,6.69263,198.53722,216.22214
numACS,6,25x25,2,CP-DCM-ACO,100,99.29,6.29725,5.9102,159.79564,155.09482
q0,0.3,9x9,2,CP-DCM-ACO,100,100,0.06947,0.06857,110.7874,110.07141
q0,0.5,9x9,2,CP-DCM-ACO,100,100,0.067,0.06554,107.1765,105.39363
q0,0.7,9x9,2,CP-DCM-ACO,100,100,0.06712,0.06572,107.1058,105.45195
q0,0.9,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
q0,0.99,9x9,2,CP-DCM-ACO,100,100,0.07404,0.06881,117.0802,109.25041
q0,0.3,16x16,2,CP-DCM-ACO,100,100,0.10947,0.14106,31.3683,40.48691
q0,0.5,16x16,2,CP-DCM-ACO,100,100,0.11015,0.14522,31.3848,41.66535
q0,0.7,16x16,2,CP-DCM-ACO,100,100,0.1237,0.17005,35.1098,48.56552
q0,0.9,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
q0,0.99,16x16,2,CP-DCM-ACO,100,99.73,0.20068,0.34548,55.64002,96.57163
q0,0.3,25x25,2,CP-DCM-ACO,100,54.07,31.2566,28.30089,1826.39865,1640.08187
q0,0.5,25x25,2,CP-DCM-ACO,100,82.35,22.30143,21.08912,1140.13055,1079.53827
q0,0.7,25x25,2,CP-DCM-ACO,100,96.43,14.15286,14.1426,716.32563,715.66383
q0,0.9,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
q0,0.99,25x25,2,CP-DCM-ACO,101,91.69307,12.18414,17.3647,637.7277,889.4222
rho,0.3,9x9,2,CP-DCM-ACO,100,100,0.0811,0.07352,126.4709,115.34136
rho,0.5,9x9,2,CP-DCM-ACO,100,100,0.07628,0.06867,118.8244,107.66866
rho,0.7,9x9,2,CP-DCM-ACO,100,100,0.07154,0.06602,112.4866,104.44317
rho,0.9,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
rho,0.99,9x9,2,CP-DCM-ACO,100,100,0.06599,0.06261,104.1425,99.3108
rho,0.3,16x16,2,CP-DCM-ACO,100,99.97,0.17905,0.27517,50.10036,77.42432
rho,0.5,16x16,2,CP-DCM-ACO,100,100,0.15566,0.23529,44.0631,67.08301
rho,0.7,16x16,2,CP-DCM-ACO,100,99.99,0.15401,0.22935,43.15097,64.4421
rho,0.9,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
rho,0.99,16x16,2,CP-DCM-ACO,100,99.98,0.1413,0.21626,39.74033,61.11224
rho,0.3,25x25,2,CP-DCM-ACO,100,96.59,9.86823,12.7065,555.2999,712.31752
rho,0.5,25x25,2,CP-DCM-ACO,100,97.16,9.62087,12.3542,536.97593,690.62268
rho,0.7,25x25,2,CP-DCM-ACO,100,96.83,9.66735,12.41568,528.5647,677.76407
rho,0.9,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
rho,0.99,25x25,2,CP-DCM-ACO,100,97.21,9.04288,11.41853,491.05119,616.99138
timeout,1,9x9,2,CP-DCM-ACO,100,100,0.06875,0.06485,108.2347,102.6098
timeout,3,9x9,2,CP-DCM-ACO,100,100,0.06884,0.06439,108.2534,101.91136
timeout,5,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
