
============================================================
worker start: rho=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: rho
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: rho (Pheromone Persistence) (rho)

[Config 1/1] rho=0.5 on 25x25
  [rho=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 89/100: OK (time=6.0546s)
    Rep 90/100: OK (time=7.7146s)
    Rep 91/100: OK (time=4.4020s)
    Rep 92/100: OK (time=1.5714s)
    Rep 93/100: OK (time=3.2260s)
    Rep 94/100: OK (time=13.2592s)
    Rep 95/100: OK (time=8.2229s)
    Rep 96/100: OK (time=2.9069s)
    Rep 97/100: OK (time=14.0576s)
    Rep 98/100: OK (time=1.0250s)
    Rep 99/100: OK (time=1.9212s)
    Rep 100/100: OK (time=1.4979s)
    => success%=100.0 time_mean=6.191813 cycles_mean=251.17
  [rho=0.5 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=3.6639s)
    Rep 2/100: OK (time=3.7893s)
    Rep 3/100: OK (time=9.4066s)
    Rep 4/100: OK (time=16.9906s)
    Rep 5/100: OK (time=4.5490s)
    Rep 6/100: OK (time=1.9020s)
    Rep 7/100: OK (time=1.1971s)
    Rep 8/100: OK (time=0.4664s)
    Rep 9/100: OK (time=2.5666s)
    Rep 10/100: OK (time=2.9017s)
    Rep 11/100: OK (time=1.1920s)
    Rep 12/100: OK (time=6.4992s)
    Rep 13/100: OK (time=6.7752s)
    Rep 14/100: OK (time=1.7060s)
    Rep 15/100: OK (time=9.0489s)
    Rep 16/100: OK (time=20.7675s)
    Rep 17/100: OK (time=4.6909s)
    Rep 18/100: OK (time=5.0957s)
    Rep 19/100: OK (time=3.8187s)
    Rep 20/100: OK (time=3.9764s)
    Rep 21/100: OK (time=1.6585s)
    Rep 22/100: OK (time=3.8457s)
