
============================================================
worker start: xi=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: xi
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: xi (Local Pheromone Update) (xi)

[Config 1/1] xi=0.5 on 25x25
  [xi=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 48/100: OK (time=5.1845s)
    Rep 49/100: OK (time=41.9082s)
    Rep 50/100: OK (time=6.1357s)
    Rep 51/100: OK (time=29.2613s)
    Rep 52/100: OK (time=4.1697s)
    Rep 53/100: OK (time=8.1063s)
    Rep 54/100: OK (time=1.6073s)
    Rep 55/100: OK (time=5.6978s)
    Rep 56/100: OK (time=13.2702s)
    Rep 57/100: OK (time=3.0001s)
    Rep 58/100: OK (time=21.9464s)
    Rep 59/100: OK (time=0.6683s)
    Rep 60/100: OK (time=10.3999s)
    Rep 61/100: OK (time=3.4217s)
    Rep 62/100: OK (time=2.2432s)
    Rep 63/100: OK (time=7.0319s)
    Rep 64/100: OK (time=4.9670s)
    Rep 65/100: OK (time=9.3550s)
    Rep 66/100: OK (time=10.0884s)
    Rep 67/100: OK (time=8.1323s)
    Rep 68/100: OK (time=5.5267s)
    Rep 69/100: OK (time=7.1502s)
    Rep 70/100: OK (time=24.1224s)
    Rep 71/100: OK (time=12.4421s)
    Rep 72/100: OK (time=10.3137s)
    Rep 73/100: OK (time=0.9697s)
    Rep 74/100: OK (time=5.3970s)
    Rep 75/100: OK (time=2.1565s)
    Rep 76/100: OK (time=2.2124s)
    Rep 77/100: OK (time=5.1754s)
    Rep 78/100: OK (time=1.2565s)
    Rep 79/100: OK (time=14.2672s)
    Rep 80/100: OK (time=19.0308s)
    Rep 81/100: OK (time=9.6802s)
    Rep 82/100: OK (time=2.4097s)
    Rep 83/100: OK (time=4.0393s)
    Rep 84/100: OK (time=2.3251s)
    Rep 85/100: OK (time=6.5080s)
    Rep 86/100: OK (time=3.4030s)
    Rep 87/100: OK (time=15.9437s)
    Rep 88/100: OK (time=14.2121s)
    Rep 89/100: OK (time=17.4451s)
    Rep 90/100: OK (time=4.2473s)
    Rep 91/100: OK (time=5.0171s)
    Rep 92/100: OK (time=1.3494s)
    Rep 93/100: OK (time=4.8429s)
    Rep 94/100: OK (time=3.8135s)
    Rep 95/100: OK (time=2.1690s)
    Rep 96/100: OK (time=2.8383s)
    Rep 97/100: OK (time=15.7423s)
    Rep 98/100: OK (time=4.3188s)
    Rep 99/100: OK (time=4.1271s)
    Rep 100/100: OK (time=10.7026s)
    => success%=100.0 time_mean=8.549169 cycles_mean=314.34
  [xi=0.5 [25x25]] (4/50) inst25x25_40_80.txt 
    Rep 1/100: OK (time=2.1704s)
    Rep 2/100: OK (time=6.5430s)
    Rep 3/100: OK (time=3.3574s)
    Rep 4/100: OK (time=0.8258s)
    Rep 5/100: OK (time=1.2363s)
    Rep 6/100: OK (time=5.2280s)
    Rep 7/100: OK (time=0.4136s)
    Rep 8/100: OK (time=2.1795s)
    Rep 9/100: OK (time=2.3410s)
    Rep 10/100: OK (time=2.6561s)
    Rep 11/100: OK (time=3.3393s)
    Rep 12/100: OK (time=16.8196s)
    Rep 13/100: OK (time=6.1022s)
    Rep 14/100: OK (time=2.6104s)
    Rep 15/100: OK (time=6.0406s)
    Rep 16/100: OK (time=3.1666s)
    Rep 17/100: OK (time=1.3919s)
    Rep 18/100: OK (time=5.7503s)
    Rep 19/100: OK (time=5.7515s)
    Rep 20/100: OK (time=8.1674s)
    Rep 21/100: OK (time=2.9046s)
    Rep 22/100: OK (time=3.3890s)
    Rep 23/100: OK (time=7.3614s)
    Rep 24/100: OK (time=2.6883s)
    Rep 25/100: OK (time=6.0373s)
    Rep 26/100: OK (time=3.6580s)
    Rep 27/100: OK (time=1.5379s)
    Rep 28/100: OK (time=2.6012s)
    Rep 29/100: OK (time=4.6761s)
    Rep 30/100: OK (time=2.0790s)
    Rep 31/100: OK (time=1.4858s)
    Rep 32/100: OK (time=2.6670s)
    Rep 33/100: OK (time=2.5239s)
    Rep 34/100: OK (time=1.4328s)
    Rep 35/100: OK (time=5.8020s)
    Rep 36/100: OK (time=0.8171s)
    Rep 37/100: OK (time=2.1016s)
    Rep 38/100: OK (time=0.5476s)
    Rep 39/100: OK (time=0.2224s)
    Rep 40/100: OK (time=5.3896s)
    Rep 41/100: OK (time=1.8270s)
    Rep 42/100: OK (time=2.5033s)
    Rep 43/100: OK (time=0.8272s)
    Rep 44/100: OK (time=4.0540s)
    Rep 45/100: OK (time=2.2984s)
    Rep 46/100: OK (time=0.2909s)
    Rep 47/100: OK (time=9.5883s)
    Rep 48/100: OK (time=12.9167s)
    Rep 49/100: OK (time=1.7064s)
    Rep 50/100: OK (time=1.0919s)
    Rep 51/100: OK (time=1.3458s)
    Rep 52/100: OK (time=3.5406s)
    Rep 53/100: OK (time=5.9877s)
    Rep 54/100: OK (time=2.8974s)
    Rep 55/100: OK (time=2.9565s)
    Rep 56/100: OK (time=0.9102s)
    Rep 57/100: OK (time=4.0889s)
    Rep 58/100: OK (time=1.4824s)
    Rep 59/100: OK (time=14.3142s)
    Rep 60/100: OK (time=2.0349s)
    Rep 61/100: OK (time=6.1352s)
    Rep 62/100: OK (time=2.7380s)
    Rep 63/100: OK (time=3.3882s)
    Rep 64/100: OK (time=10.5419s)
    Rep 65/100: OK (time=14.2152s)
    Rep 66/100: OK (time=6.0303s)
    Rep 67/100: OK (time=8.6579s)
    Rep 68/100: OK (time=2.6053s)
    Rep 69/100: OK (time=6.9439s)
    Rep 70/100: OK (time=0.6736s)
    Rep 71/100: OK (time=2.2386s)
    Rep 72/100: OK (time=1.3738s)
    Rep 73/100: OK (time=0.7953s)
    Rep 74/100: OK (time=5.5215s)
    Rep 75/100: OK (time=5.4145s)
    Rep 76/100: OK (time=0.1946s)
    Rep 77/100: OK (time=5.2949s)
    Rep 78/100: OK (time=5.1206s)
    Rep 79/100: OK (time=11.7158s)
    Rep 80/100: OK (time=0.8054s)
    Rep 81/100: OK (time=10.1906s)
    Rep 82/100: OK (time=0.4956s)
    Rep 83/100: OK (time=1.9999s)
    Rep 84/100: OK (time=1.3901s)
    Rep 85/100: OK (time=1.4288s)
    Rep 86/100: OK (time=2.0751s)
    Rep 87/100: OK (time=2.5824s)
    Rep 88/100: OK (time=3.7138s)
    Rep 89/100: OK (time=0.5670s)
    Rep 90/100: OK (time=6.7231s)
    Rep 91/100: OK (time=1.1447s)
    Rep 92/100: OK (time=2.2440s)
    Rep 93/100: OK (time=2.6516s)
    Rep 94/100: OK (time=1.9447s)
    Rep 95/100: OK (time=2.1004s)
    Rep 96/100: OK (time=5.2669s)
    Rep 97/100: OK (time=3.8200s)
    Rep 98/100: OK (time=0.5056s)
    Rep 99/100: OK (time=3.7420s)
    Rep 100/100: OK (time=1.3264s)
    => success%=100.0 time_mean=3.789931 cycles_mean=142.56
  [xi=0.5 [25x25]] (5/50) inst25x25_40_9.txt 
    Rep 1/100: OK (time=8.9918s)
    Rep 2/100: OK (time=4.7856s)
    Rep 3/100: OK (time=9.3101s)
    Rep 4/100: OK (time=0.4386s)
    Rep 5/100: OK (time=5.8742s)
    Rep 6/100: OK (time=2.7877s)
    Rep 7/100: OK (time=8.7068s)
    Rep 8/100: OK (time=6.4224s)
    Rep 9/100: OK (time=1.2334s)
    Rep 10/100: OK (time=13.6025s)
    Rep 11/100: OK (time=4.9848s)
    Rep 12/100: OK (time=1.0457s)
    Rep 13/100: OK (time=10.6387s)
    Rep 14/100: OK (time=7.5165s)
    Rep 15/100: OK (time=4.0298s)
    Rep 16/100: OK (time=4.9451s)
    Rep 17/100: OK (time=3.5128s)
    Rep 18/100: OK (time=2.1879s)
    Rep 19/100: OK (time=4.8909s)
    Rep 20/100: OK (time=0.6697s)
    Rep 21/100: OK (time=0.5969s)
    Rep 22/100: OK (time=8.6186s)
    Rep 23/100: OK (time=7.6172s)
    Rep 24/100: OK (time=2.7093s)
    Rep 25/100: OK (time=3.7243s)
    Rep 26/100: OK (time=4.7225s)
    Rep 27/100: OK (time=6.4848s)
    Rep 28/100: OK (time=0.5827s)
    Rep 29/100: OK (time=4.0919s)
    Rep 30/100: OK (time=1.1305s)
    Rep 31/100: OK (time=6.6557s)
    Rep 32/100: OK (time=25.3029s)
    Rep 33/100: OK (time=5.4052s)
    Rep 34/100: OK (time=1.8184s)
    Rep 35/100: OK (time=48.4148s)
    Rep 36/100: OK (time=2.2730s)
    Rep 37/100: OK (time=7.6845s)
    Rep 38/100: OK (time=4.2972s)
    Rep 39/100: OK (time=1.6396s)
    Rep 40/100: OK (time=3.4428s)
    Rep 41/100: OK (time=0.8310s)
    Rep 42/100: OK (time=14.8960s)
    Rep 43/100: OK (time=3.2092s)
    Rep 44/100: OK (time=3.1260s)
    Rep 45/100: OK (time=1.0931s)
    Rep 46/100: OK (time=2.9033s)
    Rep 47/100: OK (time=3.5527s)
    Rep 48/100: OK (time=12.5250s)
    Rep 49/100: OK (time=2.6036s)
    Rep 50/100: OK (time=10.3425s)
    Rep 51/100: OK (time=7.5561s)
    Rep 52/100: OK (time=3.2216s)
    Rep 53/100: OK (time=5.0190s)
    Rep 54/100: OK (time=7.0307s)
    Rep 55/100: OK (time=11.6754s)
    Rep 56/100: OK (time=11.1426s)
    Rep 57/100: OK (time=5.2583s)
    Rep 58/100: OK (time=6.4334s)
    Rep 59/100: OK (time=2.0190s)
    Rep 60/100: OK (time=5.7251s)
    Rep 61/100: OK (time=5.2263s)
    Rep 62/100: OK (time=3.8483s)
    Rep 63/100: OK (time=4.6737s)
    Rep 64/100: OK (time=31.1953s)
    Rep 65/100: OK (time=2.3905s)
    Rep 66/100: OK (time=3.3781s)
    Rep 67/100: OK (time=2.7583s)
    Rep 68/100: OK (time=2.4536s)
    Rep 69/100: OK (time=2.4518s)
    Rep 70/100: OK (time=1.6922s)
    Rep 71/100: OK (time=5.8397s)
    Rep 72/100: OK (time=3.2144s)
    Rep 73/100: OK (time=9.1099s)
    Rep 74/100: OK (time=4.7493s)
    Rep 75/100: OK (time=7.3759s)
    Rep 76/100: OK (time=0.7124s)
    Rep 77/100: OK (time=10.9837s)
    Rep 78/100: OK (time=3.0931s)
    Rep 79/100: OK (time=2.1157s)
    Rep 80/100: OK (time=1.4402s)
    Rep 81/100: OK (time=1.9054s)
    Rep 82/100: OK (time=1.7260s)
    Rep 83/100: OK (time=2.8653s)
    Rep 84/100: OK (time=6.4762s)
    Rep 85/100: OK (time=1.2881s)
    Rep 86/100: OK (time=1.6764s)
    Rep 87/100: OK (time=1.9420s)
    Rep 88/100: OK (time=1.1828s)
    Rep 89/100: OK (time=8.6816s)
    Rep 90/100: OK (time=5.4030s)
    Rep 91/100: OK (time=2.8342s)
    Rep 92/100: OK (time=7.1473s)
    Rep 93/100: OK (time=8.6677s)
    Rep 94/100: OK (time=11.2342s)
