
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 27/100: OK (time=7.0384s)
    Rep 28/100: OK (time=20.7742s)
    Rep 29/100: OK (time=15.4390s)
    Rep 30/100: OK (time=21.2402s)
    Rep 31/100: OK (time=4.5975s)
    Rep 32/100: OK (time=60.3253s)
    Rep 33/100: OK (time=13.2774s)
    Rep 34/100: OK (time=10.7446s)
    Rep 35/100: OK (time=6.6673s)
    Rep 36/100: OK (time=5.4470s)
    Rep 37/100: OK (time=7.3620s)
    Rep 38/100: OK (time=1.0311s)
    Rep 39/100: OK (time=2.7057s)
    Rep 40/100: OK (time=22.1290s)
    Rep 41/100: OK (time=3.2486s)
    Rep 42/100: OK (time=18.3242s)
    Rep 43/100: OK (time=4.3820s)
    Rep 44/100: OK (time=12.3567s)
    Rep 45/100: OK (time=3.4453s)
    Rep 46/100: OK (time=5.7663s)
    Rep 47/100: OK (time=6.1664s)
    Rep 48/100: OK (time=14.0757s)
    Rep 49/100: OK (time=5.2181s)
    Rep 50/100: OK (time=3.4997s)
    Rep 51/100: OK (time=1.1419s)
    Rep 52/100: OK (time=2.3434s)
    Rep 53/100: OK (time=3.6509s)
    Rep 54/100: OK (time=8.6076s)
    Rep 55/100: OK (time=4.7552s)
    Rep 56/100: OK (time=5.1295s)
    Rep 57/100: OK (time=6.9697s)
    Rep 58/100: OK (time=9.1179s)
    Rep 59/100: OK (time=9.1299s)
    Rep 60/100: OK (time=17.1306s)
    Rep 61/100: OK (time=49.3780s)
    Rep 62/100: OK (time=1.8161s)
    Rep 63/100: OK (time=19.7029s)
    Rep 64/100: OK (time=8.5548s)
    Rep 65/100: OK (time=3.1879s)
