
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 88/100: OK (time=9.0201s)
    Rep 89/100: OK (time=1.3423s)
    Rep 90/100: OK (time=29.0310s)
    Rep 91/100: OK (time=3.2384s)
    Rep 92/100: OK (time=5.7105s)
    Rep 93/100: OK (time=24.7388s)
    Rep 94/100: OK (time=14.9452s)
    Rep 95/100: OK (time=3.9571s)
    Rep 96/100: OK (time=5.5112s)
    Rep 97/100: OK (time=1.6210s)
    Rep 98/100: OK (time=23.9861s)
    Rep 99/100: OK (time=1.2496s)
    Rep 100/100: OK (time=1.6318s)
    => success%=100.0 time_mean=8.17411 cycles_mean=301.98
  [entropyPct=97.125 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=2.9250s)
    Rep 2/100: OK (time=2.2800s)
    Rep 3/100: OK (time=4.2733s)
    Rep 4/100: OK (time=8.7607s)
    Rep 5/100: OK (time=8.2729s)
    Rep 6/100: OK (time=14.2594s)
    Rep 7/100: OK (time=27.2900s)
    Rep 8/100: OK (time=2.1268s)
    Rep 9/100: OK (time=11.7856s)
    Rep 10/100: OK (time=3.4823s)
    Rep 11/100: OK (time=16.5574s)
    Rep 12/100: OK (time=7.8703s)
    Rep 13/100: OK (time=26.0133s)
    Rep 14/100: OK (time=1.0188s)
    Rep 15/100: OK (time=12.3569s)
    Rep 16/100: OK (time=6.3456s)
    Rep 17/100: OK (time=0.4141s)
    Rep 18/100: OK (time=5.5670s)
    Rep 19/100: OK (time=1.2990s)
    Rep 20/100: OK (time=2.5943s)
    Rep 21/100: OK (time=4.2857s)
    Rep 22/100: OK (time=14.2836s)
    Rep 23/100: OK (time=11.0236s)
    Rep 24/100: OK (time=11.1377s)
    Rep 25/100: OK (time=18.9018s)
    Rep 26/100: OK (time=8.4677s)
    Rep 27/100: OK (time=3.1733s)
    Rep 28/100: OK (time=3.2074s)
    Rep 29/100: OK (time=7.9645s)
    Rep 30/100: OK (time=2.1961s)
    Rep 31/100: OK (time=4.7723s)
    Rep 32/100: OK (time=5.9444s)
    Rep 33/100: OK (time=11.8876s)
    Rep 34/100: OK (time=3.3533s)
    Rep 35/100: OK (time=1.7914s)
    Rep 36/100: OK (time=1.7541s)
    Rep 37/100: OK (time=8.0301s)
    Rep 38/100: OK (time=1.8941s)
    Rep 39/100: OK (time=2.8040s)
    Rep 40/100: OK (time=4.0360s)
    Rep 41/100: OK (time=1.9524s)
    Rep 42/100: OK (time=5.8936s)
    Rep 43/100: OK (time=4.7197s)
    Rep 44/100: OK (time=4.8410s)
    Rep 45/100: OK (time=7.2976s)
    Rep 46/100: OK (time=3.5865s)
